,,,Dessert (aliment moyen),2.18
fruits | légumes | légumineuses et oléagineux,pommes de terre et autres tubercules,-,Potatoes ou Wedges ou Quartiers de pommes de terre épicés | surgelées | cuites,0.2
fruits | légumes | légumineuses et oléagineux,pommes de terre et autres tubercules,-,Pomme de terre | rôtie/cuite au four,0.44
fruits | légumes | légumineuses et oléagineux,pommes de terre et autres tubercules,-,Pomme de terre sautée/rissolée | pré-frite | surgelée | cuite,0.2
fruits | légumes | légumineuses et oléagineux,pommes de terre et autres tubercules,-,Pomme de terre de conservation | sans peau | bouillie/cuite à l'eau,0.2
fruits | légumes | légumineuses et oléagineux,pommes de terre et autres tubercules,-,Pomme de terre primeur | sans peau | bouillie/cuite à l'eau,0
fruits | légumes | légumineuses et oléagineux,pommes de terre et autres tubercules,-,Frites de pommes de terre | surgelées | rôties/cuites au four,0.2
fruits | légumes | légumineuses et oléagineux,pommes de terre et autres tubercules,-,Frites de pommes de terre | surgelées | cuites en friteuse,0
fruits | légumes | légumineuses et oléagineux,pommes de terre et autres tubercules,-,Pomme de terre duchesse | surgelée | cuite,0.2
fruits | légumes | légumineuses et oléagineux,pommes de terre et autres tubercules,-,Pomme de terre noisette | surgelée | cuite,0.2
fruits | légumes | légumineuses et oléagineux,pommes de terre et autres tubercules,-,Pomme de terre sautée/poêlée à la graisse de canard,0
fruits | légumes | légumineuses et oléagineux,pommes de terre et autres tubercules,-,Chips de pommes de terre nature ou aromatisées | à l'ancienne,0.2
fruits | légumes | légumineuses et oléagineux,pommes de terre et autres tubercules,-,Chips de pommes de terre et assimilés nature ou aromatisées | allégées en matière grasse,0.2
fruits | légumes | légumineuses et oléagineux,pommes de terre et autres tubercules,-,Rostis ou Galette de pomme de terre,0.2
fruits | légumes | légumineuses et oléagineux,pommes de terre et autres tubercules,-,Pomme de terre duchesse | surgelée | crue,0.3
fruits | légumes | légumineuses et oléagineux,pommes de terre et autres tubercules,-,Pomme de terre sautée/ rissolée | pré-frites | surgelée | crue,0.3
fruits | légumes | légumineuses et oléagineux,pommes de terre et autres tubercules,-,Frites de pommes de terre | surgelées | préfrites | pour cuisson rôtie/ au four,0.3
fruits | légumes | légumineuses et oléagineux,pommes de terre et autres tubercules,-,Frites de pommes de terre | surgelées | préfrites | pour cuisson micro-ondes,0.3
fruits | légumes | légumineuses et oléagineux,pommes de terre et autres tubercules,-,Frites de pommes de terre | surgelées | préfrites | pour cuisson en friteuse,0
fruits | légumes | légumineuses et oléagineux,pommes de terre et autres tubercules,-,Pomme de terre | purée (aliment moyen),0.19
fruits | légumes | légumineuses et oléagineux,pommes de terre et autres tubercules,-,Pomme de terre | cuite (aliment moyen),0.4
fruits | légumes | légumineuses et oléagineux,pommes de terre et autres tubercules,-,Patate douce | crue,0.93
fruits | légumes | légumineuses et oléagineux,pommes de terre et autres tubercules,-,Patate douce | cuite,0.56
fruits | légumes | légumineuses et oléagineux,pommes de terre et autres tubercules,-,Patate douce | purée | cuisinée à la crème,0
fruits | légumes | légumineuses et oléagineux,pommes de terre et autres tubercules,-,Topinambour | cuit,0.5
fruits | légumes | légumineuses et oléagineux,pommes de terre et autres tubercules,-,Topinambour | cru,0
fruits | légumes | légumineuses et oléagineux,pommes de terre et autres tubercules,-,Banane plantain | cuite,0
fruits | légumes | légumineuses et oléagineux,pommes de terre et autres tubercules,-,Taro | tubercule | cru,0
fruits | légumes | légumineuses et oléagineux,pommes de terre et autres tubercules,-,Taro | tubercule | cuit,0
fruits | légumes | légumineuses et oléagineux,pommes de terre et autres tubercules,-,Igname | épluchée | crue,0.2
fruits | légumes | légumineuses et oléagineux,pommes de terre et autres tubercules,-,Igname | épluchée | bouillie/cuite à l'eau,0
fruits | légumes | légumineuses et oléagineux,pommes de terre et autres tubercules,-,Manioc | racine crue,0
fruits | légumes | légumineuses et oléagineux,pommes de terre et autres tubercules,-,Manioc | racine cuite,0
fruits | légumes | légumineuses et oléagineux,pommes de terre et autres tubercules,-,Fruit à pain | cru,0
fruits | légumes | légumineuses et oléagineux,légumineuses,légumineuses cuites,Haricot coco | bouilli/cuit à l'eau,0.4
fruits | légumes | légumineuses et oléagineux,légumineuses,légumineuses cuites,Fève | bouillie/cuite à l'eau,0.2
fruits | légumes | légumineuses et oléagineux,légumineuses,légumineuses cuites,Haricot blanc | bouilli/cuit à l'eau,0.2
fruits | légumes | légumineuses et oléagineux,légumineuses,légumineuses cuites,Haricot rouge | bouilli/cuit à l'eau,0.2
fruits | légumes | légumineuses et oléagineux,légumineuses,légumineuses cuites,Lentille | bouillie/cuite à l'eau,0
fruits | légumes | légumineuses et oléagineux,légumineuses,légumineuses cuites,Pois cassé | bouilli/cuit à l'eau,0
fruits | légumes | légumineuses et oléagineux,légumineuses,légumineuses cuites,Pois chiche | bouilli/cuit à l'eau,0.2
fruits | légumes | légumineuses et oléagineux,légumineuses,légumineuses cuites,Haricot flageolet | appertisé | égouttés,0.5
fruits | légumes | légumineuses et oléagineux,légumineuses,légumineuses cuites,Lentille | cuisinée | appertisée | égouttée,0.25
fruits | légumes | légumineuses et oléagineux,légumineuses,légumineuses cuites,Haricot blanc | appertisé | égoutté,0
fruits | légumes | légumineuses et oléagineux,légumineuses,légumineuses cuites,Haricot flageolet | bouilli/cuit à l'eau,0.2
fruits | légumes | légumineuses et oléagineux,légumineuses,légumineuses cuites,Haricot rouge | appertisé | égoutté,0
fruits | légumes | légumineuses et oléagineux,légumineuses,légumineuses cuites,Haricot mungo | bouilli/cuit à l'eau,0
fruits | légumes | légumineuses et oléagineux,légumineuses,légumineuses cuites,Pois chiche | appertisé | égoutté,0
fruits | légumes | légumineuses et oléagineux,légumineuses,légumineuses cuites,Haricot flageolet | vert | bouilli/cuit à l'eau,0
fruits | légumes | légumineuses et oléagineux,légumineuses,légumineuses cuites,Fève | pelée | surgelée | cuite à l'eau,0.2
fruits | légumes | légumineuses et oléagineux,légumineuses,légumineuses cuites,Fève | surgelée | bouillie/cuite à l'eau,0.2
fruits | légumes | légumineuses et oléagineux,légumineuses,légumineuses cuites,Lentille verte | bouillie/cuite à l'eau,0.2
fruits | légumes | légumineuses et oléagineux,légumineuses,légumineuses cuites,Lentille blonde | bouillie/cuite à l'eau,0.2
fruits | légumes | légumineuses et oléagineux,légumineuses,légumineuses cuites,Lentille corail | bouillie/cuite à l'eau,0.2
fruits | légumes | légumineuses et oléagineux,légumineuses,légumineuses cuites,Légume sec | cuit (aliment moyen),0
fruits | légumes | légumineuses et oléagineux,légumineuses,légumineuses fraîches,Fève à écosser | fraîche,0
fruits | légumes | légumineuses et oléagineux,légumineuses,légumineuses fraîches,Lentille | germée,0
fruits | légumes | légumineuses et oléagineux,légumineuses,légumineuses fraîches,Lupin | graine crue,0
fruits | légumes | légumineuses et oléagineux,légumineuses,légumineuses fraîches,Fève | fraîche | surgelée,0
fruits | légumes | légumineuses et oléagineux,légumineuses,légumineuses fraîches,Haricot flageolet | surgelé,0
fruits | légumes | légumineuses et oléagineux,légumineuses,légumineuses fraîches,Fève | pelée | surgelée | crue,0
fruits | légumes | légumineuses et oléagineux,légumineuses,légumineuses sèches,Haricot blanc | sec,0
fruits | légumes | légumineuses et oléagineux,légumineuses,légumineuses sèches,Lentille | sèche,0
fruits | légumes | légumineuses et oléagineux,légumineuses,légumineuses sèches,Pois cassé | sec,0.15
fruits | légumes | légumineuses et oléagineux,légumineuses,légumineuses sèches,Pois chiche | sec,0.2
fruits | légumes | légumineuses et oléagineux,légumineuses,légumineuses sèches,Fève | sèche,0
fruits | légumes | légumineuses et oléagineux,légumineuses,légumineuses sèches,Haricot rouge | sec,0
fruits | légumes | légumineuses et oléagineux,légumineuses,légumineuses sèches,Haricot mungo | sec,0
fruits | légumes | légumineuses et oléagineux,légumineuses,légumineuses sèches,Lentille corail | sèche,0.2
fruits | légumes | légumineuses et oléagineux,légumineuses,légumineuses sèches,Haricot flageolet | vert | sec,0
fruits | légumes | légumineuses et oléagineux,légumineuses,légumineuses sèches,Lentille verte | sèche,0.2
fruits | légumes | légumineuses et oléagineux,légumineuses,légumineuses sèches,Lentille blonde | sèche,0.2
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Abricot | dénoyauté | cru,2
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Ananas | pulpe | cru,1.8
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Banane | pulpe | crue,3.9
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Cassis | cru,4.24
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Cerise | dénoyautée | crue,5.4
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Citron | pulpe | cru,0.4
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Coing | cru,0
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Figue | crue,6
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Fraise | crue,2.3
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Framboise | crue,2.1
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Fruit de la passion ou maracudja | pulpe et pépins | cru,2.4
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Grenade | pulpe et pépins | crue,6.2
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Groseille | crue,2.77
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Groseille à maquereau | crue,0
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Kiwi | pulpe et graines | cru,3.8
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Litchi | pulpe | cru,7.6
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Clémentine ou Mandarine | pulpe | crue,1.4
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Mangue | pulpe | crue,1
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Melon cantaloup (par ex.: Charentais | de Cavaillon) pulpe | cru,1.49
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Mirabelle | crue,3.8
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Myrtille | crue,4.88
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Mûre (de ronce) | crue,2.99
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Nectarine ou brugnon | pulpe et peau | crue,1.57
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Orange | pulpe | crue,2
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Papaye | pulpe | crue,4
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Pastèque | pulpe | crue,1.8
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Poire | pulpe et peau | crue,2
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Pomme | pulpe et peau | crue,2.01
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Pomelo (dit Pamplemousse) | pulpe | cru,1.9
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Prune Reine-Claude | crue,4
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Pêche | pulpe et peau | crue,1.39
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Raisin blanc | à gros grain (type Italia ou Dattier) | cru,7
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Raisin noir | cru,7.4
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Rhubarbe | tige | crue,0.8
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Pomme | pulpe | crue,3.25
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Carambole | pulpe | crue,0
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Anone ou chérimole | pulpe | crue,5.93
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Feijoa | pulpe | crue,2.32
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Figue de Barbarie | pulpe et graines | crue,0.44
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Kaki | pulpe | cru,7.5
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Citron vert ou Lime | pulpe | cru,0.8
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Mûre noire (du mûrier) | crue,0
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Ramboutan | pulpe | crue,0
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Tamarin | fruit mûr | pulpe | cru,0
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Goyave | pulpe | crue,1.3
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Pomme Canada | pulpe | crue,0
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Pomme Golden | pulpe | crue,1.6
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Prune | crue,4.7
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Raisin Chasselas | cru,8.1
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Poire | pulpe | crue,0
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Griotte | crue,4.18
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Raisin | cru,7.2
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Canneberge ou cranberry | crue,3.28
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Pomme Granny Smith | pulpe | crue,1.9
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Pomme Granny Smith | pulpe et peau | crue,1.6
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Citron | zeste | cru,0
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Sureau | baie | crue,3.15
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Myrtille | surgelée | crue,0
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Salade de fruits | crue,0
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Framboise | surgelée | crue,0.75
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Nectarine ou brugnon | jaune | pulpe et peau | crue,1
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Nectarine ou brugnon | blanche | pulpe et peau | crue,1.1
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Mûre (de ronce) | surgelée | crue,0
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Pomelo (dit Pamplemousse) jaune | pulpe | cru,1.59
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Pomelo (dit Pamplemousse) rose | pulpe | cru,1.45
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Poire Conférence | pulpe | crue,1.2
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Poire Williams | pulpe | crue,1
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Pomme Chantecler | pulpe | crue,1.3
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Pomme Gala | pulpe | crue,1.1
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Pomme Pink lady | pulpe | crue,1.1
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Pêche blanche | pulpe et peau | crue,0.8
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Pêche blanche | pulpe | crue,0.7
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Pêche jaune | pulpe | crue,0.9
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Dourian | pulpe | cru,0
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Kumquat | sans pépin | cru,2.2
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Longan | pulpe | cru,0
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Pamplemousse chinois | pulpe | cru,0
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Pomme Golden | pulpe et peau | crue,1.4
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Raisin noir Muscat | cru,9.8
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Melon miel ou melon honeydew | pulpe | cru,1.38
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Fruits rouges | crus (framboises | fraises | groseilles | cassis),3.48
fruits | légumes | légumineuses et oléagineux,fruits,fruits crus,Fruit cru (aliment moyen),2.61
fruits | légumes | légumineuses et oléagineux,fruits,compotes et assimilés,Compote de pomme,5.35
fruits | légumes | légumineuses et oléagineux,fruits,compotes et assimilés,Rhubarbe | tige | cuite | sucrée,0
fruits | légumes | légumineuses et oléagineux,fruits,compotes et assimilés,Compote | tout type de fruits,6.07
fruits | légumes | légumineuses et oléagineux,fruits,compotes et assimilés,Compote | tout type de fruits | allégée en sucres,3.32
fruits | légumes | légumineuses et oléagineux,fruits,compotes et assimilés,Chayote ou christophine ou chouchou | crue,0
fruits | légumes | légumineuses et oléagineux,fruits,compotes et assimilés,Compote | tout type de fruits | allégée en sucres | rayon frais,3.1
fruits | légumes | légumineuses et oléagineux,fruits,compotes et assimilés,Compote de pomme | allégée en sucres,3.01
fruits | légumes | légumineuses et oléagineux,fruits,compotes et assimilés,Dessert de fruits | tout type de fruits (en taux de sucres : compotes allégées en sucres < desserts de fruits < compotes allégée),3.58
fruits | légumes | légumineuses et oléagineux,fruits,compotes et assimilés,Purée de fruits | tout type de fruits | type compote sans sucres ajoutés,3
fruits | légumes | légumineuses et oléagineux,fruits,compotes et assimilés,Spécialité de fruits divers | sucrée (mélange pulpes et/ou purées de fruits | mais toujours avec autre ingrédient),2.7
fruits | légumes | légumineuses et oléagineux,fruits,compotes et assimilés,Pomme | pulpe | rôtie/cuite au four,3.3
fruits | légumes | légumineuses et oléagineux,fruits,compotes et assimilés,Pomme | pulpe | bouillie/cuite à l'eau,0
fruits | légumes | légumineuses et oléagineux,fruits,compotes et assimilés,Compote ou assimilé | tout type de fruits | teneur en sucre (allégée en sucres ou non | sans sucres ajoutés...) inconnue (aliment moyen),4.25
fruits | légumes | légumineuses et oléagineux,fruits,compotes et assimilés,Purée de pommes | type compote sans sucres ajoutés,2.79
fruits | légumes | légumineuses et oléagineux,fruits,compotes et assimilés,Coulis de fruits rouges (framboises | fraises | groseilles | cassis),5.17
fruits | légumes | légumineuses et oléagineux,fruits,fruits appertisés,Abricot au sirop (sans précision sur léger ou classique) | appertisé | égoutté (aliment moyen),7.1
fruits | légumes | légumineuses et oléagineux,fruits,fruits appertisés,Macédoine ou cocktail ou salade de fruits | au sirop (sans précision sur léger ou classique) | appertisé | égouttée (aliment moyen),5.42
fruits | légumes | légumineuses et oléagineux,fruits,fruits appertisés,Macédoine ou cocktail ou salade de fruits | au sirop | appertisé | égoutté,5.7
fruits | légumes | légumineuses et oléagineux,fruits,fruits appertisés,Macédoine ou cocktail ou salade de fruits | au sirop | appertisé | non égoutté,5.98
fruits | légumes | légumineuses et oléagineux,fruits,fruits appertisés,Macédoine ou cocktail ou salade de fruits | au sirop léger | appertisé | égoutté,5
fruits | légumes | légumineuses et oléagineux,fruits,fruits appertisés,Macédoine ou cocktail ou salade de fruits | au sirop léger | appertisé | non égoutté,5.12
fruits | légumes | légumineuses et oléagineux,fruits,fruits appertisés,Abricot au sirop léger | appertisé | égoutté,4.09
fruits | légumes | légumineuses et oléagineux,fruits,fruits appertisés,Abricot au sirop léger | appertisé | non égoutté,4.21
fruits | légumes | légumineuses et oléagineux,fruits,fruits appertisés,Abricot au sirop | appertisé | égoutté,7.1
fruits | légumes | légumineuses et oléagineux,fruits,fruits appertisés,Abricot au sirop | appertisé | non égoutté,7.06
fruits | légumes | légumineuses et oléagineux,fruits,fruits appertisés,Ananas au jus d'ananas | égoutté | appertisé,4.07
fruits | légumes | légumineuses et oléagineux,fruits,fruits appertisés,Ananas au jus d'ananas | appertisé | non égoutté,4.03
fruits | légumes | légumineuses et oléagineux,fruits,fruits appertisés,Ananas au sirop léger | appertisé | égoutté,5.79
fruits | légumes | légumineuses et oléagineux,fruits,fruits appertisés,Ananas au sirop léger | appertisé | non égoutté,5.78
fruits | légumes | légumineuses et oléagineux,fruits,fruits appertisés,Pêche au sirop léger | appertisée | égouttée,4.5
fruits | légumes | légumineuses et oléagineux,fruits,fruits appertisés,Pêche au sirop léger | appertisée | non égouttée,4.46
fruits | légumes | légumineuses et oléagineux,fruits,fruits appertisés,Poire au sirop léger | appertisée | égouttée,3.67
fruits | légumes | légumineuses et oléagineux,fruits,fruits appertisés,Poire au sirop léger | appertisée | non égouttée,4.4
fruits | légumes | légumineuses et oléagineux,fruits,fruits séchés,Abricot | dénoyauté | sec,16
fruits | légumes | légumineuses et oléagineux,fruits,fruits séchés,Datte | pulpe et peau | sèche,32.8
fruits | légumes | légumineuses et oléagineux,fruits,fruits séchés,Figue | sèche,25
fruits | légumes | légumineuses et oléagineux,fruits,fruits séchés,Pruneau | sec,25.5
fruits | légumes | légumineuses et oléagineux,fruits,fruits séchés,Raisin | sec,34
fruits | légumes | légumineuses et oléagineux,fruits,fruits séchés,Mélange apéritif de fruits exotiques | sec,21.6
fruits | légumes | légumineuses et oléagineux,fruits,fruits séchés,Banane | pulpe | sèche,0
fruits | légumes | légumineuses et oléagineux,fruits,fruits séchés,Pomme | sèche,0
fruits | légumes | légumineuses et oléagineux,fruits,fruits séchés,Pêche | sèche,6.1
fruits | légumes | légumineuses et oléagineux,fruits,fruits séchés,Canneberge ou cranberry | séchée | sucrée,32
fruits | légumes | légumineuses et oléagineux,fruits,fruits séchés,Abricot | dénoyauté | sec | moelleux (réhydraté à 35-45%),14.9
fruits | légumes | légumineuses et oléagineux,fruits,fruits et leurs produits de la Martinique,Abricot pays | pulpe | au sirop | appertisé | non égoutté | prélevé à la Martinique,1.2
fruits | légumes | légumineuses et oléagineux,fruits,fruits et leurs produits de la Martinique,Abricot pays | pulpe | cru | prélevé à la Martinique,1.5
fruits | légumes | légumineuses et oléagineux,fruits,fruits et leurs produits de la Martinique,Ananas | pulpe | cru  | prélevé à la Martinique,0
fruits | légumes | légumineuses et oléagineux,fruits,fruits et leurs produits de la Martinique,Caïmite | pulpe | cru | prélevé à la Martinique,0
fruits | légumes | légumineuses et oléagineux,fruits,fruits et leurs produits de la Martinique,Cerise acérola | pulpe | crue | prélevée à la Martinique,0
fruits | légumes | légumineuses et oléagineux,fruits,fruits et leurs produits de la Martinique,Chadèque | pulpe | cru | prélevé à la Martinique,0
fruits | légumes | légumineuses et oléagineux,fruits,fruits et leurs produits de la Martinique,Chips d'abricot pays | pulpe | prélevé à la Martinique,4.47
fruits | légumes | légumineuses et oléagineux,fruits,fruits et leurs produits de la Martinique,Goyave | pulpe | purée | prélevée à la Martinique,0
fruits | légumes | légumineuses et oléagineux,fruits,fruits et leurs produits de la Martinique,Jus de carambole | prélevé à la Martinique | jus filtré,0
fruits | légumes | légumineuses et oléagineux,fruits,fruits et leurs produits de la Martinique,Jus de carambole | prélevée à la Martinique | jus non filtré,0
fruits | légumes | légumineuses et oléagineux,fruits,fruits et leurs produits de la Martinique,Jus de citron punch (variété petit calibre) | pur jus | prélevé à la Martinique,0
fruits | légumes | légumineuses et oléagineux,fruits,fruits et leurs produits de la Martinique,Jus de citron vert (variété gros calibre) | pur jus | prélevé à la Martinique,0
fruits | légumes | légumineuses et oléagineux,fruits,fruits et leurs produits de la Martinique,Jus de corossol | prélevé à la Martinique,0
fruits | légumes | légumineuses et oléagineux,fruits,fruits et leurs produits de la Martinique,Jus de fruit de la passion ou maracudja | prélevé à la Martinique | pur jus,0
fruits | légumes | légumineuses et oléagineux,fruits,fruits et leurs produits de la Martinique,Jus de grenade | prélevée à la Martinique,0
fruits | légumes | légumineuses et oléagineux,fruits,fruits et leurs produits de la Martinique,Jus de lime | pur jus | prélevé à la Martinique,0
fruits | légumes | légumineuses et oléagineux,fruits,fruits et leurs produits de la Martinique,Jus de mandarine commune | pur jus filtré pasteurisé | prélevée à la Martinique,2
fruits | légumes | légumineuses et oléagineux,fruits,fruits et leurs produits de la Martinique,Jus de mandarine commune | pur jus filtré | prélevée à la Martinique,1.87
fruits | légumes | légumineuses et oléagineux,fruits,fruits et leurs produits de la Martinique,Jus de mandarine macaque | pur jus filtré | prélevée à la Martinique,0.63
fruits | légumes | légumineuses et oléagineux,fruits,fruits et leurs produits de la Martinique,Jus de moubin | pur jus | prélevé à la Martinique,0
fruits | légumes | légumineuses et oléagineux,fruits,fruits et leurs produits de la Martinique,Jus de pamplemousse (variété locale) | pur jus | prélevé à la Martinique,0
fruits | légumes | légumineuses et oléagineux,fruits,fruits et leurs produits de la Martinique,Jus de prune de cythère verte géante (variété locale) | fruit mûr | pur jus filtré | prélevée à la Martinique,0.65
fruits | légumes | légumineuses et oléagineux,fruits,fruits et leurs produits de la Martinique,Jus de prune de cythère verte géante (variété locale) | fruit vert | pur jus filtré | prélevée à la Martinique,0.006
fruits | légumes | légumineuses et oléagineux,fruits,fruits et leurs produits de la Martinique,Jus de prune de cythère verte naine (variété hybride) | fruit mûr | pur jus filtré | prélevée à la Martinique,2.27
fruits | légumes | légumineuses et oléagineux,fruits,fruits et leurs produits de la Martinique,Jus de prune de cythère verte naine (variété hybride) | fruit vert | pur jus filtré | prélevée à la Martinique,0.16
fruits | légumes | légumineuses et oléagineux,fruits,fruits et leurs produits de la Martinique,Mandarine commune | pulpe | au sirop | appertisée | non égouttée | prélevée à la Martinique,3.83
fruits | légumes | légumineuses et oléagineux,fruits,fruits et leurs produits de la Martinique,Mango bassignac | pulpe | cru | prélevé à la Martinique,0
fruits | légumes | légumineuses et oléagineux,fruits,fruits et leurs produits de la Martinique,Mango moussache | pulpe | cru | prélevé à la Martinique,0
fruits | légumes | légumineuses et oléagineux,fruits,fruits et leurs produits de la Martinique,Mangue julie | pulpe | crue | prélevée à la Martinique,0
fruits | légumes | légumineuses et oléagineux,fruits,fruits et leurs produits de la Martinique,Mangue verte | pulpe | crue | prélevée à la Martinique,0
fruits | légumes | légumineuses et oléagineux,fruits,fruits et leurs produits de la Martinique,Melon | pulpe | cru | prélevé à la Martinique,0
fruits | légumes | légumineuses et oléagineux,fruits,fruits et leurs produits de la Martinique,Orange (variété locale) | pulpe | prélevée à la Martinique,0
fruits | légumes | légumineuses et oléagineux,fruits,fruits et leurs produits de la Martinique,Orange amère | pulpe | crue | prélevée à la Martinique,0
fruits | légumes | légumineuses et oléagineux,fruits,fruits et leurs produits de la Martinique,Pastèque | pulpe | crue | prélevée à la Martinique,0
fruits | légumes | légumineuses et oléagineux,fruits,fruits et leurs produits de la Martinique,Pomme cajou | pulpe | crue | prélevée à la Martinique,0
fruits | légumes | légumineuses et oléagineux,fruits,fruits et leurs produits de la Martinique,Pomme cannelle |  pulpe | crue | prélevée à la Martinique,0
fruits | légumes | légumineuses et oléagineux,fruits,fruits et leurs produits de la Martinique,Pomme d'eau ou pomme malaca | pulpe | crue | prélevée à la Martinique,0
fruits | légumes | légumineuses et oléagineux,fruits,fruits et leurs produits de la Martinique,Pomme liane | pulpe | crue | prélevée à la Martinique,0
fruits | légumes | légumineuses et oléagineux,fruits,fruits et leurs produits de la Martinique,Prune de cythère | mûre | fruit entier | crue | prélevée à la Martinique,0
fruits | légumes | légumineuses et oléagineux,fruits,fruits et leurs produits de la Martinique,Prune de cythère | verte ou immature | fruit entier | crue | prélevée à la Martinique,0
fruits | légumes | légumineuses et oléagineux,fruits,fruits et leurs produits de la Martinique,Jacques | pulpe | cru | prélevé à la Martinique,0
fruits | légumes | légumineuses et oléagineux,fruits,fruits et leurs produits de la Réunion,Mangue José | pulpe | crue | prélevée à La Réunion (Mangifera indica L.),3.2
fruits | légumes | légumineuses et oléagineux,fruits,fruits et leurs produits de la Réunion,Ananas Victoria ou ananas Queen Victoria | pulpe crue | prélevé à La Réunion Ananas comosus (L.) merr var. Queen),2.5
fruits | légumes | légumineuses et oléagineux,fruits,fruits et leurs produits de la Réunion,Papaye Colombo (fruit mûr) | pulpe sans pépin | crue | prélevée à La Réunion (Carica papaya L.),4.1
