,,,Dessert (aliment moyen),2.18
entrées et plats composés,plats composés,plats de viande sans garniture,Coq au vin,0
entrées et plats composés,plats composés,plats de viande sans garniture,Paupiette de veau,0
entrées et plats composés,plats composés,plats de viande sans garniture,Paupiette de volaille,0
entrées et plats composés,plats composés,plats de viande sans garniture,Viande en sauce (aliment moyen),0
entrées et plats composés,plats composés,plats de viande sans garniture,Poulet au curry et au lait de coco,0.45
entrées et plats composés,plats composés,plats de viande sans garniture,Meloukhia | plat à base de boeuf et corete | fait maison,0
entrées et plats composés,plats composés,plats de viande sans garniture,Palette à la diable | préemballée,0
entrées et plats composés,plats composés,plats de viande sans garniture,Langue de boeuf sauce madère | préemballée,0
entrées et plats composés,plats composés,plats de viande sans garniture,Porc au caramel | préemballé,2.7
entrées et plats composés,plats composés,plats de viande sans garniture,Boulettes au boeuf | à la sauce tomate | préemballées,0
entrées et plats composés,plats composés,plats de viande sans garniture,Paupiette de veau | préemballée |  cuite au four,0.3
entrées et plats composés,plats composés,plats de viande sans garniture,Carpaccio de boeuf | avec marinade,0
entrées et plats composés,plats composés,plats de viande sans garniture,Yakitori (brochettes japonaises grillées en sauce),1.4
entrées et plats composés,plats composés,plats de viande sans garniture,Brochette de boeuf | cuite,0
entrées et plats composés,plats composés,plats de viande sans garniture,Brochette de volaille | cuite,0
entrées et plats composés,plats composés,plats de viande et féculents,Hachis parmentier à la viande | préemballé,0.18
entrées et plats composés,plats composés,plats de viande et féculents,Couscous au mouton,0
entrées et plats composés,plats composés,plats de viande et féculents,Couscous à la viande ou au poulet | préemballé | allégé,0
entrées et plats composés,plats composés,plats de viande et féculents,Poêlée de pommes de terre préfrites | lardons ou poulet | et autres | sans légumes verts | préemballée,0.6
entrées et plats composés,plats composés,plats de viande et féculents,Couscous royal (avec plusieurs viandes) | préemballé,0.48
entrées et plats composés,plats composés,plats de viande et féculents,Couscous au poulet,0
entrées et plats composés,plats composés,plats de viande et féculents,Couscous à la viande | préemballé,0.6
entrées et plats composés,plats composés,plats de viande et féculents,Parmentier de canard | préemballé,0.3
entrées et plats composés,plats composés,plats de viande et féculents,Parmentier de canard | préemballé | cuit,0.2
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,Cassoulet | appertisé,0.2
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,Choucroute garnie | préemballée,0.28
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,Petit salé ou saucisse aux lentilles | préemballé,0.22
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,Pot-au-feu | préemballé,0.4
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,Boeuf aux carottes,0
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,Potée auvergnate (chou et porc),0.37
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,Cassoulet au porc | appertisé,0
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,Cassoulet au canard ou oie | appertisé,0.2
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,Tomate farcie,0.41
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,Chou farci | préemballé,0.88
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,Chili con carne | préemballé,0.42
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,Moussaka,0.91
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,Navarin d'agneau aux légumes,0
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,Tajine de mouton,0
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,Osso buco,0
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,Poulet basquaise | préemballé,0
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,Tajine de poulet | préemballé,3.2
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,Chop suey (porc ou poulet) | préemballé,0
entrées et plats composés,plats composés,plats de viande et légumes/légumineuses,Légumes farcis (sauf tomate),0
entrées et plats composés,plats composés,plats de poisson sans garniture,Moules marinières (oignons et vin blanc),0.3
entrées et plats composés,plats composés,plats de poisson sans garniture,Moules farcies (matière grasse | persillade…) | préemballées | crues,0.2
entrées et plats composés,plats composés,plats de poisson sans garniture,Gratin ou cassolette de poisson et / ou fruits de mer |  préemballé | cru,0.34
entrées et plats composés,plats composés,plats de poisson sans garniture,Gratin ou cassolette de poisson et / ou fruits de mer | préemballé | cuit,0.28
entrées et plats composés,plats composés,plats de poisson sans garniture,Saumon à l'oseille | préemballé,0.3
entrées et plats composés,plats composés,plats de poisson sans garniture,Poisson blanc à la bordelaise | préemballé,0.26
entrées et plats composés,plats composés,plats de poisson sans garniture,Poisson blanc à la provençale ou niçoise (sauce tomate) | préemballé,0.79
entrées et plats composés,plats composés,plats de poisson sans garniture,Poisson blanc à la florentine (sauce aux épinards) | préemballé,0
entrées et plats composés,plats composés,plats de poisson sans garniture,Poisson blanc à la marinière (sauce aux oignons | vin blanc | moules) | préemballé,0
entrées et plats composés,plats composés,plats de poisson sans garniture,Poisson blanc à la sauce moutarde | préemballé,0
entrées et plats composés,plats composés,plats de poisson sans garniture,Poisson blanc à la parisienne (sauce aux champignons) | préemballé,0.1
entrées et plats composés,plats composés,plats de poisson sans garniture,Poisson blanc à l'estragon | préemballé,0
entrées et plats composés,plats composés,plats de poisson sans garniture,Poisson blanc sauce oseille | préemballé,0.14
entrées et plats composés,plats composés,plats de poisson sans garniture,Saumon farci | préemballé,0
entrées et plats composés,plats composés,plats de poisson sans garniture,Brochette de poisson,0
entrées et plats composés,plats composés,plats de poisson sans garniture,Brochette de crevettes,0
entrées et plats composés,plats composés,plats de poisson sans garniture,Poisson en sauce | surgelé,0
entrées et plats composés,plats composés,plats de poisson sans garniture,Poisson cuit (aliment moyen),0.0015
entrées et plats composés,plats composés,plats de poisson sans garniture,Poisson blanc | cuit (aliment moyen),0
entrées et plats composés,plats composés,plats de poisson sans garniture,Poisson blanc | de mer | cuit (aliment moyen),0
entrées et plats composés,plats composés,plats de poisson et féculents,Paëlla,0.43
entrées et plats composés,plats composés,plats de poisson et féculents,Couscous au poisson,0
entrées et plats composés,plats composés,plats de poisson et féculents,Gratin de poisson et purée ou brandade aux pommes de terre ou parmentier de poisson | préemballé,0.23
entrées et plats composés,plats composés,plats de poisson et féculents,Sushi ou Maki aux produits de la mer,2.28
entrées et plats composés,plats composés,plats de légumes/légumineuses,Terrine ou mousse de légumes,0
entrées et plats composés,plats composés,plats de légumes/légumineuses,Flan de légumes,0.46
entrées et plats composés,plats composés,plats de légumes/légumineuses,Haricots blancs à la sauce tomate | appertisés,0.3
entrées et plats composés,plats composés,plats de légumes/légumineuses,Piperade basquaise | préemballée,1.74
entrées et plats composés,plats composés,plats de légumes/légumineuses,Poêlée de légumes assaisonnés sans champignon | surgelée | crue,0.34
entrées et plats composés,plats composés,plats de légumes/légumineuses,Poêlée de légumes assaisonnés à l'asiatiques ou wok de légumes | surgelée | crue,0
entrées et plats composés,plats composés,plats de légumes/légumineuses,Poêlée de légumes assaisonnés grillée | méridionale ou méditerranéenne | surgelée | crue,1
entrées et plats composés,plats composés,plats de légumes/légumineuses,Poêlée de légumes assaisonnés aux champignons (champêtre) | surgelée,0.82
entrées et plats composés,plats composés,plats de légumes/légumineuses,Ratatouille cuisinée | préemballée,1.5
entrées et plats composés,plats composés,plats de légumes/légumineuses,Épinards à la crème | préemballés,0.1
entrées et plats composés,plats composés,plats de légumes/légumineuses,Gratin d'aubergine | préemballé,0
entrées et plats composés,plats composés,plats de légumes/légumineuses,Gratin dauphinois,0.26
entrées et plats composés,plats composés,plats de légumes/légumineuses,Endive au jambon,0.66
entrées et plats composés,plats composés,plats de légumes/légumineuses,Gratin de chou-fleur | préemballé,0.38
entrées et plats composés,plats composés,plats de légumes/légumineuses,Gratin de légumes,0.66
entrées et plats composés,plats composés,plats de légumes/légumineuses,Riste d'aubergines (aubergines | tomates | oignons) | préemballée,1.5
entrées et plats composés,plats composés,plats de légumes/légumineuses,Palet ou galette de légumes | préfrit | surgelé,0.47
entrées et plats composés,plats composés,plats de légumes/légumineuses,Palet ou galette de légumes | préfrit | surgelé | cuit,0.8
entrées et plats composés,plats composés,plats de légumes/légumineuses,Choucroute | sans garniture | égouttée | cuite,0.2
entrées et plats composés,plats composés,plats de légumes/légumineuses,Tomate à la provençale | fait maison,0
entrées et plats composés,plats composés,plats de légumes/légumineuses,Beignet de légumes,0
entrées et plats composés,plats composés,plats de légumes/légumineuses,Falafel ou Boulette de pois-chiche et/ou fève | frite,0.3
entrées et plats composés,plats composés,plats de légumes/légumineuses,Gratin de légumes en sauce blanche type béchamel | cuit,0.58
entrées et plats composés,plats composés,plats de légumes/légumineuses,Falafel ou Boulette de pois-chiche et/ou fève | préemballé,0.55
entrées et plats composés,plats composés,plats de céréales/pâtes,Blé dur précuit cuisiné | en sachet micro-ondable,0
entrées et plats composés,plats composés,plats de céréales/pâtes,Blé dur précuit | grains entiers | cuisiné | à poêler,0
entrées et plats composés,plats composés,plats de céréales/pâtes,Ravioli à la viande | sauce tomate | appertisé,0.63
entrées et plats composés,plats composés,plats de céréales/pâtes,Lasagnes ou cannelloni à la viande (bolognaise),0.58
entrées et plats composés,plats composés,plats de céréales/pâtes,Pâtes à la bolognaise (spaghetti | tagliatelles…),0.72
entrées et plats composés,plats composés,plats de céréales/pâtes,Riz cantonais,0.075
entrées et plats composés,plats composés,plats de céréales/pâtes,Ravioli chinois à la vapeur à la crevette | cuit,0.2
entrées et plats composés,plats composés,plats de céréales/pâtes,Gratin de pâtes,0.2
entrées et plats composés,plats composés,plats de céréales/pâtes,Lasagnes ou cannellonis aux légumes | préemballées | cuits,1.43
entrées et plats composés,plats composés,plats de céréales/pâtes,Pâtes à la carbonara (spaghetti | tagliatelles…),0.094
entrées et plats composés,plats composés,plats de céréales/pâtes,Lasagnes ou cannellonis au poisson | préemballées,0.3
entrées et plats composés,plats composés,plats de céréales/pâtes,Pâtes fraîches farcies (ex : raviolis | tortellinis | ravioles du Dauphiné) | au fromage | cuites,0.17
entrées et plats composés,plats composés,plats de céréales/pâtes,Couscous de légumes | préemballé,0
entrées et plats composés,plats composés,plats de céréales/pâtes,Pâtes fraîches farcies (ex : raviolis | tortellinis) | au fromage et aux légumes | préemballées | cuites,0.39
entrées et plats composés,plats composés,plats de céréales/pâtes,Pâtes fraîches farcies (ex : raviolis | totellinis) | à la viande (ex : bolognaise) | préemballées | crues,0.44
entrées et plats composés,plats composés,plats de céréales/pâtes,Pâtes fraîches farcies (ex : raviolis | tortellinis) | à la viande (ex : bolognaise) | préemballées | cuites,0.2
entrées et plats composés,plats composés,plats de céréales/pâtes,Pâtes fraîches farcies (ex : raviolis | tortellinis | ravioles du Dauphiné) | au fromage | préemballées | crues,0.5
